"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.265029194E0,-2.638000064E-2,1.277319938E-1,2.977530062E-1,3.250664846E-1
1.270027811E0,-3.181799874E-2,1.285669953E-1,3.055199981E-1,3.329929827E-1
1.275026426E0,-3.181799874E-2,1.285669953E-1,3.055199981E-1,3.329929827E-1
1.280025357E0,-3.181799874E-2,1.285669953E-1,3.055199981E-1,3.329929827E-1
1.285024282E0,-3.181799874E-2,1.285669953E-1,3.055199981E-1,3.329929827E-1
1.290022434E0,-4.518099874E-2,1.226650029E-1,3.087329865E-1,3.352671808E-1
1.295020589E0,-4.518099874E-2,1.226650029E-1,3.087329865E-1,3.352671808E-1
1.300019325E0,-4.518099874E-2,1.226650029E-1,3.087329865E-1,3.352671808E-1
1.305018054E0,-4.518099874E-2,1.226650029E-1,3.087329865E-1,3.352671808E-1
1.310017631E0,-5.977499858E-2,1.167360023E-1,3.073309958E-1,3.341447077E-1
1.315017208E0,-5.977499858E-2,1.167360023E-1,3.073309958E-1,3.341447077E-1
1.320016741E0,-5.977499858E-2,1.167360023E-1,3.073309958E-1,3.341447077E-1
1.325016280E0,-5.977499858E-2,1.167360023E-1,3.073309958E-1,3.341447077E-1
1.330015501E0,-7.393000275E-2,1.159349978E-1,3.082140088E-1,3.374943618E-1
1.335014694E0,-7.393000275E-2,1.159349978E-1,3.082140088E-1,3.374943618E-1
1.340013502E0,-7.393000275E-2,1.159349978E-1,3.082140088E-1,3.374943618E-1
1.345012309E0,-7.393000275E-2,1.159349978E-1,3.082140088E-1,3.374943618E-1
1.350011964E0,-8.690600097E-2,1.142219976E-1,3.101400137E-1,3.417398804E-1
1.355011617E0,-8.690600097E-2,1.142219976E-1,3.101400137E-1,3.417398804E-1
1.360009962E0,-8.690600097E-2,1.142219976E-1,3.101400137E-1,3.417398804E-1
1.365008271E0,-8.690600097E-2,1.142219976E-1,3.101400137E-1,3.417398804E-1
1.370007502E0,-9.476400167E-2,1.136950031E-1,3.147169948E-1,3.477837784E-1
1.375006733E0,-9.476400167E-2,1.136950031E-1,3.147169948E-1,3.477837784E-1
1.380006159E0,-9.476400167E-2,1.136950031E-1,3.147169948E-1,3.477837784E-1
1.385005544E0,-9.476400167E-2,1.136950031E-1,3.147169948E-1,3.477837784E-1
1.390003890E0,-9.414800256E-2,1.100030020E-1,3.231750131E-1,3.541279372E-1
1.395002237E0,-9.414800256E-2,1.100030020E-1,3.231750131E-1,3.541279372E-1
1.400000650E0,-9.414800256E-2,1.100030020E-1,3.231750131E-1,3.541279372E-1
1.404999073E0,-9.414800256E-2,1.100030020E-1,3.231750131E-1,3.541279372E-1
1.409997842E0,-8.427300304E-2,1.117879972E-1,3.336380124E-1,3.618187650E-1
1.414996611E0,-8.427300304E-2,1.117879972E-1,3.336380124E-1,3.618187650E-1
1.419995722E0,-8.427300304E-2,1.117879972E-1,3.336380124E-1,3.618187650E-1
1.424994837E0,-8.427300304E-2,1.117879972E-1,3.336380124E-1,3.618187650E-1
1.429993298E0,-6.949000061E-2,1.203979999E-1,3.304339945E-1,3.584845370E-1
1.434991761E0,-6.949000061E-2,1.203979999E-1,3.304339945E-1,3.584845370E-1
1.439991401E0,-6.949000061E-2,1.203979999E-1,3.304339945E-1,3.584845370E-1
1.444991054E0,-6.949000061E-2,1.203979999E-1,3.304339945E-1,3.584845370E-1
1.449989707E0,-5.944399908E-2,1.356920004E-1,3.100599945E-1,3.436322281E-1
1.454988362E0,-5.944399908E-2,1.356920004E-1,3.100599945E-1,3.436322281E-1
1.459986940E0,-5.944399908E-2,1.356920004E-1,3.100599945E-1,3.436322281E-1
1.464985515E0,-5.944399908E-2,1.356920004E-1,3.100599945E-1,3.436322281E-1
1.469984747E0,-5.751100183E-2,1.509180069E-1,2.816739976E-1,3.246906236E-1
1.474983978E0,-5.751100183E-2,1.509180069E-1,2.816739976E-1,3.246906236E-1
1.479982101E0,-5.751100183E-2,1.509180069E-1,2.816739976E-1,3.246906236E-1
1.484980256E0,-5.751100183E-2,1.509180069E-1,2.816739976E-1,3.246906236E-1
1.489978103E0,-5.905799940E-2,1.612530053E-1,2.562069893E-1,3.084354071E-1
1.494975948E0,-5.905799940E-2,1.612530053E-1,2.562069893E-1,3.084354071E-1
1.499974560E0,-5.905799940E-2,1.612530053E-1,2.562069893E-1,3.084354071E-1
1.504973175E0,-5.905799940E-2,1.612530053E-1,2.562069893E-1,3.084354071E-1
1.509971981E0,-5.485599861E-2,1.657759994E-1,2.451879978E-1,3.010116557E-1
1.514970790E0,-5.485599861E-2,1.657759994E-1,2.451879978E-1,3.010116557E-1
1.519969087E0,-5.485599861E-2,1.657759994E-1,2.451879978E-1,3.010116557E-1
1.524967396E0,-5.485599861E-2,1.657759994E-1,2.451879978E-1,3.010116557E-1
1.529966165E0,-5.442300066E-2,1.643700004E-1,2.383279949E-1,2.945837626E-1
1.534964934E0,-5.442300066E-2,1.643700004E-1,2.383279949E-1,2.945837626E-1
1.539963702E0,-5.442300066E-2,1.643700004E-1,2.383279949E-1,2.945837626E-1
1.544962473E0,-5.442300066E-2,1.643700004E-1,2.383279949E-1,2.945837626E-1
1.549960789E0,-6.103999913E-2,1.581850052E-1,2.342319936E-1,2.891591329E-1
